seed	step	L1	L2	L1/L2	mu_w	median_w	sigma_w	mu_b	median_b	sigma_b	trace	lambda_max	trace/lambda	mu_lambda	sigma_lambda
0	0	34391.89009685905	22.298627162466243	1098.5188963117776	-4.016861225863977e-07	9.5367431640625e-07	0.00038198192487470806	0.0	0.0	0.0	-0.05959089678160998	1.2052403487721268	-0.0243106107671588	0.7741869946523589	0.055802732649050196
0	1	34391.89009685905	22.298627162466243	1098.5188963117776	-4.016861225863977e-07	9.5367431640625e-07	0.00038198192487470806	0.0	0.0	0.0	-0.05959089678160998	1.2052403487721268	-0.0243106107671588	0.7741869946523589	0.055802732649050196
0	2	34391.887256855865	22.298627172197616	1098.5187351844845	-4.0166082726500463e-07	9.5367431640625e-07	0.00038198192487470806	3.406226134483603e-10	0.0	1.1188721119308881e-13	-0.05959027883957843	1.2052402976824312	-0.024309049826023253	0.7741869706280378	0.05580274165817061
0	4	34391.88347018495	22.29862828157386	1098.5194782874808	-4.006528797617648e-07	9.5367431640625e-07	0.00038198192487470806	2.283752520426674e-09	0.0	4.412390158109458e-12	-0.05959078730369101	1.2052402368613653	-0.024318394202984248	0.7741869973893069	0.055802751265998395
0	8	34391.735565808354	22.29862047701466	1098.519860056905	-3.978285008088278e-07	9.5367431640625e-07	0.0003819815756287426	4.482708426678528e-09	-0.0	1.0294261276744265e-10	-0.0596278443628428	1.2052385746216288	-0.024341288005195194	0.774186774784205	0.05580270719923535
0	16	34391.50749362245	22.29849695672794	1098.5195051047385	-3.954862393129588e-07	9.5367431640625e-07	0.0003819766570813954	-6.571716681946782e-08	0.0	1.5808871989264617e-09	-0.05965797511898741	1.205234322620898	-0.024415167837295925	0.7741823871524967	0.05580195779817141
0	32	34391.49085718272	22.298626695360458	1098.517176177334	-3.664933956315508e-07	1.0132789611816406e-06	0.0003819685662165284	-4.4255788367308924e-08	-1.1920928955078125e-07	1.216436107398522e-08	-0.05963705145582861	1.2052786666519788	-0.024688136237083668	0.7741856426000595	0.05580244619133217
0	64	34394.18482441805	22.301355342475734	1098.5136856987053	-3.4376176927253255e-07	1.0728836059570312e-06	0.0003819862031377852	4.407340270518034e-07	-7.152557373046875e-07	4.798529928962125e-08	-0.059447444215112805	1.2058181270044677	-0.024341354219508022	0.7742735947273216	0.055815959178215385
0	128	34413.557831433354	22.318332895940664	1098.5178691906356	-2.829190464126441e-07	1.3709068298339844e-06	0.0003822881553787738	2.10507801057247e-06	-6.258487701416016e-06	3.6637433709074685e-07	-0.06039979384869945	1.2150015496477788	-0.02174065123042967	0.7748151385054296	0.05595613399292437
0	256	34462.06641123246	22.35886169939625	1098.498099711914	-1.6672872504841507e-07	6.556510925292969e-07	0.00038318298174999654	-5.441708708531223e-05	-5.811452865600586e-05	3.129800006718142e-06	-0.05836729370817846	1.361275466120973	-0.015617160775850094	0.7759305846934416	0.05667807171311306
